"","LSOA11CD","LSOA11NM","MEAN"
"421","E01003747","Redbridge 001D",44.0287179487179
"422","E01004192","Sutton 006C",44.0262548262548
"423","E01001132","Croydon 018D",44.0230520977409
"424","E01003660","Redbridge 004D",44.0128563443264
"425","E01003478","Merton 001E",44.0105168269231
"426","E01002170","Harrow 033A",43.9947337624342
"427","E01004094","Sutton 025B",43.9876138433515
"428","E01000267","Barnet 005A",43.9779544633177
"429","E01002175","Harrow 033F",43.970757430489
"430","E01000388","Bexley 016A",43.9584748961872
"431","E01000407","Bexley 005D",43.9546391752577
"432","E01003873","Richmond upon Thames 006A",43.9529780564263
"433","E01000689","Bromley 002A",43.9502961999711
"434","E01002431","Hillingdon 006C",43.941726618705
"435","E01003886","Richmond upon Thames 021A",43.941348973607
"436","E01003884","Richmond upon Thames 016C",43.9403299403299
"437","E01000834","Bromley 027E",43.9389021479714
"438","E01000808","Bromley 025A",43.9363284736686
"439","E01003887","Richmond upon Thames 021B",43.9250465549348
"440","E01002973","Kingston upon Thames 006E",43.9235947492427
"441","E01002381","Havering 012F",43.9183785264311
"442","E01001209","Ealing 013A",43.9129172714078
"443","E01003863","Richmond upon Thames 004E",43.9114163903363
"444","E01002339","Havering 008D",43.9068136272545
"445","E01002461","Hillingdon 013A",43.8977110157368
"446","E01001526","Enfield 019E",43.8970227670753
"447","E01002533","Hillingdon 005A",43.8965594614809
"448","E01033571","Richmond upon Thames 004H",43.8941704035874
"449","E01001290","Ealing 022D",43.8922924901186
"450","E01002483","Hillingdon 002D",43.8919368246052
"451","E01003703","Redbridge 006F",43.8806121414817
"452","E01000722","Bromley 023A",43.8797719813439
"453","E01003007","Kingston upon Thames 001B",43.8647439085032
"454","E01004105","Sutton 022C",43.8646907216495
"455","E01002992","Kingston upon Thames 010D",43.8642987249545
"456","E01000277","Barnet 012B",43.8605534454693
"457","E01000363","Bexley 020D",43.8581965262907
"458","E01002274","Havering 014B",43.8572357723577
"459","E01000193","Barnet 018B",43.8546530746465
"460","E01003830","Richmond upon Thames 020C",43.8519834221433
"461","E01001598","Greenwich 031B",43.8399741546414
"462","E01000186","Barnet 014A",43.8327987169206
"463","E01002196","Harrow 022D",43.8324396782842
"464","E01002117","Harrow 002D",43.8297922568461
"465","E01000270","Barnet 005D",43.8242811501597
"466","E01002979","Kingston upon Thames 015C",43.8237741456166
"467","E01002020","Haringey 021A",43.8224974200206
"468","E01003880","Richmond upon Thames 016A",43.8192189556823
"469","E01001025","Croydon 043C",43.8133274492498
"470","E01002225","Harrow 001C",43.8130176934764
"471","E01004111","Sutton 016B",43.8052111788191
"472","E01004104","Sutton 020A",43.802573932092
"473","E01003951","Southwark 033E",43.7959664499105
"474","E01002942","Kingston upon Thames 018C",43.7801218940459
"475","E01003700","Redbridge 006C",43.7719987904445
"476","E01002229","Harrow 003C",43.7714466603355
"477","E01000327","Bexley 017A",43.7668474051123
"478","E01001246","Ealing 015D",43.764263818847
"479","E01000667","Bromley 033C",43.757146900651
"480","E01000214","Barnet 038E",43.7493277561996
"481","E01001518","Enfield 016F",43.7255672681794
"482","E01002439","Hillingdon 003B",43.719195664575
"483","E01001417","Enfield 011B",43.7153375742452
"484","E01000271","Barnet 008A",43.7122034867105
"485","E01000357","Bexley 009B",43.6933938477055
"486","E01000183","Barnet 033A",43.6902268760907
"487","E01000389","Bexley 020E",43.6897401433692
"488","E01004090","Sutton 021A",43.6882290562036
"489","E01001642","Greenwich 038C",43.6879973197085
"490","E01003443","Merton 010B",43.6856751824818
"491","E01003356","Merton 009B",43.6842105263158
"492","E01003827","Richmond upon Thames 023F",43.6730123180291
"493","E01000172","Barnet 003D",43.6727139453912
"494","E01002987","Kingston upon Thames 011B",43.6726246472248
"495","E01002989","Kingston upon Thames 011D",43.6723571897571
"496","E01000285","Barnet 004A",43.6687743190661
"497","E01000772","Bromley 012E",43.6664659843468
"498","E01002691","Hounslow 029B",43.6615992102665
"499","E01000286","Barnet 007E",43.6472346786248
"500","E01003720","Redbridge 002A",43.6450816559058
"501","E01004629","Wandsworth 020F",43.6430036930652
"502","E01003751","Redbridge 020A",43.64296444667
"503","E01001564","Enfield 022B",43.6401930671347
"504","E01001220","Ealing 029B",43.6391554702495
"505","E01000390","Bexley 020F",43.6391005389333
"506","E01000828","Bromley 011E",43.6252893518519
"507","E01002686","Hounslow 006E",43.6249361267246
"508","E01002938","Kingston upon Thames 003B",43.6241610738255
"509","E01003375","Merton 022B",43.6235945812538
"510","E01000820","Bromley 008C",43.6210185658321
"511","E01002509","Hillingdon 017D",43.6188271604938
"512","E01001532","Enfield 028C",43.615834767642
"513","E01000120","Barnet 009D",43.59670781893
"514","E01002956","Kingston upon Thames 002D",43.5921360586675
"515","E01001569","Enfield 022E",43.5821548821549
"516","E01002437","Hillingdon 006E",43.5702838827839
"517","E01003774","Redbridge 014A",43.5687331536388
"518","E01002318","Havering 014D",43.5687285223368
"519","E01000712","Bromley 012A",43.5643949930459
"520","E01004190","Sutton 008C",43.5612781954887
"521","E01002412","Hillingdon 017B",43.5567975408691
"522","E01003682","Redbridge 036H",43.5543084721217
"523","E01004122","Sutton 008B",43.5524286815729
"524","E01000289","Barnet 004D",43.5377947295423
"525","E01002959","Kingston upon Thames 002E",43.5331764705882
"526","E01003463","Merton 010E",43.5255985267035
"527","E01001124","Croydon 033D",43.5254209034839
"528","E01001274","Ealing 020G",43.5148552087251
"529","E01003424","Merton 015B",43.5088717777034
"530","E01003834","Richmond upon Thames 022A",43.4976067746686
"531","E01003748","Redbridge 001E",43.4894865525672
"532","E01000574","Brent 007C",43.4853881278539
"533","E01003426","Merton 015D",43.4849633560778
"534","E01003702","Redbridge 006E",43.4728047182176
